,ProteinID,126 Vert Med,127n Vert Med,127c Vert Med,128n Vert Med,128c Vert Med,129n Vert Med,batch_p_value,null_batch_p_value,1 vs 2,i_value,BH_value,Significant?,PepPerProt
2,Q0140,125164.3495,125168.6006,127136.2595,363130.8046,367037.256,363056.7437,7.53E-09,0.528935497,8.63E-09,1,2.62E-05,TRUE,3
2790,YNL199C,415601.3423,417620.1408,416719.4436,124687.4084,125675.4285,122435.0818,1.07E-08,0.51195421,1.30E-09,2,1.86E-05,TRUE,2
1189,YGL195W,357990.4306,364456.7769,363276.1697,169586.4186,170635.1294,168182.3061,4.16E-08,0.518788708,8.69E-08,3,4.82E-05,TRUE,61
3185,YOR317W,179111.4604,181363.6889,179910.8354,321159.0264,316471.0286,320669.5647,6.88E-08,0.493752134,1.12E-07,4,5.99E-05,TRUE,20
164,YBR074W,375451.6592,386876.7105,384866.3133,151275.2177,153503.2162,152884.4444,9.18E-08,0.523964525,3.54E-07,5,6.40E-05,TRUE,4
187,YBR104W,405554.5914,405110.2229,392119.3247,138885.3744,136053.2068,136019.7183,1.30E-07,0.533010822,5.09E-07,6,7.55E-05,TRUE,3
3160,YOR275C,497434.6114,525890.7844,492264.1106,51221.03624,52259.43545,48778.64216,1.51E-07,0.522881262,1.71E-06,7,7.54E-05,TRUE,2
1028,YFL036W,162620.6462,161349.5115,163526.2473,339124.4198,329587.9165,333332.2298,1.57E-07,0.511042308,4.53E-07,8,6.81E-05,TRUE,3
1770,YJL172W,306947.3442,308700.786,305086.594,215694.2677,213455.3171,215127.2964,1.69E-07,0.548535753,1.97E-07,9,6.52E-05,TRUE,7
3239,YPL040C,159374.5362,161176.3883,159972.0328,340018.8543,338084.1098,329943.9262,1.83E-07,0.518643115,6.03E-07,10,6.38E-05,TRUE,3
583,YDR098C,339067.1978,348110.7143,346329.8043,184734.8271,183197.5009,183492.7781,1.97E-07,0.538316733,5.56E-07,11,6.22E-05,TRUE,5
1299,YGR116W,300903.8477,302662.3909,300206.4407,219639.6763,220764.3811,218076.1693,2.04E-07,0.515519246,1.75E-07,12,5.92E-05,TRUE,24
708,YDR322W,134310.1733,131404.8033,131715.5823,352804.7461,356604.0041,366871.7012,2.06E-07,0.520633964,7.81E-07,13,5.52E-05,TRUE,4
2814,YNL239W,295421.4,295185.9482,297628.5547,224536.1807,224370.9522,222579.5962,2.13E-07,0.50149236,2.19E-07,14,5.29E-05,TRUE,9
2574,YMR189W,341506.6245,344765.8256,341474.943,188242.4804,184395.346,183379.8558,2.28E-07,0.53526371,1.12E-07,15,5.28E-05,TRUE,9
1280,YGR086C,159474.2201,159982.8969,163849.8746,339076.363,333374.2631,333300.3015,2.30E-07,0.520294555,2.02E-07,16,5.02E-05,TRUE,17
1813,YJR025C,414022.5312,421277.1643,408212.0372,123381.7083,124585.1362,129418.3461,2.59E-07,0.53798697,2.70E-07,17,5.30E-05,TRUE,4
1833,YJR060W,417911.7794,438431.09,415582.5604,118276.4307,119355.1947,116196.0305,2.75E-07,0.533950265,1.95E-06,18,5.32E-05,TRUE,4
1463,YHR043C,440279.1383,459539.098,428680.7403,103295.9935,102808.7964,100554.9972,2.97E-07,0.537993542,2.96E-06,19,5.45E-05,TRUE,3
1094,YGL026C,329522.2138,338824.1489,335399.6109,192600.5387,191938.5741,191406.2259,3.03E-07,0.539453559,8.14E-07,20,5.28E-05,TRUE,28
3205,YOR356W,151723.5956,153947.7411,153479.2655,347967.8379,342979.4545,334753.4567,3.11E-07,0.515861883,1.10E-06,21,5.16E-05,TRUE,12
2671,YNL007C,348800.0225,340682.67,338615.3469,185261.3321,185986.6457,184430.6246,3.21E-07,0.504449516,9.47E-07,22,5.07E-05,TRUE,18
3320,YPL183W-A,86210.20387,91059.43116,89582.05625,405637.2525,395304.5153,383520.9133,3.35E-07,0.505538075,1.26E-06,23,5.08E-05,TRUE,1
1424,YHL030W,326921.1789,331683.4875,325908.5957,194822.4267,198148.0516,198684.1268,4.00E-07,0.529132066,4.36E-07,24,5.80E-05,TRUE,23
709,YDR324C,209949.0175,212649.2713,210120.8511,292251.3685,294072.1015,295837.2479,4.26E-07,0.497045348,4.21E-07,25,5.93E-05,TRUE,24
3004,YOL158C,415024.8302,427253.745,416564.7744,120094.4091,126243.4456,118931.5898,4.61E-07,0.505598896,3.02E-07,26,6.17E-05,TRUE,1
2434,YML075C,172853.9175,177775.5606,177627.3501,324314.611,324461.2091,319906.8761,5.03E-07,0.511795465,3.03E-07,27,6.49E-05,TRUE,15
1327,YGR165W,119883.6769,118643.0497,126309.9849,369155.063,368128.1254,366525.249,5.74E-07,0.538853567,6.32E-08,28,7.14E-05,TRUE,5
1306,YGR124W,305245.1538,305523.4196,308259.7428,216008.2485,217004.9989,213138.3077,5.88E-07,0.493272933,4.50E-07,29,7.06E-05,TRUE,28
224,YBR159W,362662.5566,362382.4829,369713.0839,166293.0436,171037.4806,164088.491,5.96E-07,0.484852661,3.88E-07,30,6.91E-05,TRUE,9
1255,YGR046W,130978.3026,128799.9844,130969.1486,361424.9216,349201.0566,370822.5889,6.23E-07,0.501140925,3.35E-06,31,6.99E-05,TRUE,2
544,YDR033W,482514.9309,472174.2294,491602.8543,70476.95485,74616.42738,66592.22506,6.46E-07,0.483316398,2.84E-07,32,7.03E-05,TRUE,4
568,YDR074W,195525.1156,196623.2092,200577.8367,304491.352,306505.5405,304571.5467,6.98E-07,0.537464553,3.47E-07,33,7.37E-05,TRUE,15
1006,YFL007W,334998.1204,336568.9205,326868.8413,192689.8892,195017.1326,192271.182,7.11E-07,0.523047682,1.51E-06,34,7.29E-05,TRUE,19
1054,YFR025C,354262.5503,358587.1531,362280.0052,176123.3673,172393.6948,168815.7227,7.66E-07,0.519774957,4.83E-07,35,7.62E-05,TRUE,1
377,YCR088W,321614.9668,327351.667,327055.7351,197636.7881,202576.1609,198862.1406,8.17E-07,0.503982817,7.76E-07,36,7.90E-05,TRUE,18
1378,YGR244C,178616.5096,173649.3254,178267.9391,321636.9341,326777.6687,318618.0526,8.66E-07,0.566610485,9.06E-07,37,8.15E-05,TRUE,12
1004,YFL004W,385082.9492,396380.0108,372825.1819,149014.6389,150077.5697,151560.9195,8.71E-07,0.548352648,4.32E-06,38,7.98E-05,TRUE,20
2042,YKR016W,146898.2122,142221.0381,149725.2804,343829.6632,353589.1408,345509.6384,9.57E-07,0.565582948,7.00E-07,39,8.54E-05,TRUE,13
354,YCR037C,122090.3424,119764.5062,125848.4614,358547.6221,379127.7292,364234.8251,9.67E-07,0.563843368,2.77E-06,40,8.41E-05,TRUE,2
1356,YGR204W,298457.1738,301999.7341,296074.1101,220860.2654,221197.8054,222157.9742,9.69E-07,0.553178785,1.61E-06,41,8.23E-05,TRUE,32
1369,YGR229C,152613.4192,153802.1348,152706.79,335764.2883,336662.3036,352746.8765,9.94E-07,0.49729435,4.40E-06,42,8.24E-05,TRUE,4
356,YCR046C,122199.774,118309.5152,127204.6467,362003.0522,368403.2703,371034.8413,1.00E-06,0.550245084,3.20E-07,43,8.13E-05,TRUE,6
251,YBR208C,323367.2171,331989.3742,328704.3659,195778.9562,200134.9573,196412.3619,1.01E-06,0.516247189,1.37E-06,44,8.00E-05,TRUE,16
3190,YOR326W,304738.8941,301978.5241,302970.6884,217897.5232,220259.8347,215603.8742,1.02E-06,0.479438284,6.83E-07,45,7.91E-05,TRUE,21
402,YDL044C,182103.5735,182753.1496,182550.8676,324293.5693,316466.3899,311949.4187,1.06E-06,0.511040215,3.05E-06,46,8.05E-05,TRUE,3
1467,YHR049W,158107.0908,152966.1038,160481.6132,342360.7317,339200.4917,334134.8869,1.09E-06,0.552691579,6.28E-07,47,8.05E-05,TRUE,18
2463,YML120C,87444.01751,89584.56152,95696.32285,385078.9189,403781.6582,391447.2693,1.10E-06,0.543358841,9.39E-07,48,7.96E-05,TRUE,7
1050,YFR015C,192155.5377,185793.493,189371.122,310447.0866,314314.845,311682.7921,1.11E-06,0.562852684,5.75E-07,49,7.91E-05,TRUE,5
3297,YPL134C,145735.0587,141571.366,148604.1988,342071.515,355901.6028,347418.6728,1.12E-06,0.567325981,1.46E-06,50,7.81E-05,TRUE,5
1825,YJR048W,86075.91443,91193.67431,88563.39072,374803.3446,402637.5489,407855.3195,1.13E-06,0.51331271,7.79E-06,51,7.69E-05,TRUE,4
2413,YML042W,52372.82976,53501.00956,59958.31921,421290.2135,428892.6655,418202.5704,1.15E-06,0.538757723,8.07E-08,52,7.71E-05,TRUE,3
1437,YHR008C,113180.4313,115406.0778,122251.2212,373748.8394,375602.9269,366242.1074,1.18E-06,0.536481341,3.47E-07,53,7.77E-05,TRUE,9
952,YER103W,322531.7361,320566.661,316246.6178,202758.5286,207247.6746,202531.4303,1.19E-06,0.494367095,1.13E-06,54,7.71E-05,TRUE,14
59,YBL005W-A,530619.1088,554697.537,549813.7148,16293.40723,20787.36868,17902.93697,1.22E-06,0.48956068,2.42E-07,55,7.73E-05,TRUE,2
1824,YJR047C,505631.6457,510811.3586,472892.0655,59016.53205,60947.74893,53492.51186,1.26E-06,0.508585077,3.43E-06,56,7.85E-05,TRUE,2
94,YBL059W,197722.3535,193816.7212,199687.2503,307527.7091,305354.8049,303882.9656,1.28E-06,0.551289918,7.25E-07,57,7.81E-05,TRUE,2
624,YDR170C,328180.6734,338452.3707,326525.8862,193737.4064,195470.0564,195087.8889,1.34E-06,0.550374315,3.49E-06,58,8.03E-05,TRUE,15
1686,YJL012C,432419.6796,433392.0076,401984.6667,116295.8764,121329.6357,118902.2061,1.34E-06,0.522418406,8.22E-06,59,7.89E-05,TRUE,16
2232,YLR195C,363517.716,346910.2994,358109.2345,174008.5924,176623.6584,172287.4224,1.35E-06,0.470612331,3.55E-06,60,7.81E-05,TRUE,10
844,YEL022W,314881.4993,322546.8065,315664.6516,207531.1818,203632.0914,206285.2055,1.35E-06,0.572577771,2.01E-06,61,7.72E-05,TRUE,12
3091,YOR153W,392360.4706,392125.0525,376236.1302,146444.0829,153365.5521,146015.9035,1.42E-06,0.502161096,2.16E-06,62,7.96E-05,TRUE,45
2720,YNL085W,171917.0248,179703.6413,175822.7593,322322.0379,321019.2616,325636.3988,1.44E-06,0.478336996,6.15E-07,63,7.96E-05,TRUE,9
1434,YHR005C,206318.3459,208409.2555,210476.6555,294637.9732,299406.0251,294729.242,1.47E-06,0.545736468,1.54E-06,64,7.98E-05,TRUE,11
2855,YNL297C,311293.2718,313552.5108,319293.6856,207587.7055,207124.6075,210699.6693,1.53E-06,0.525040776,2.25E-06,65,8.20E-05,TRUE,8
520,YDL230W,337832.5206,329378.6796,325609.8133,196781.8543,194392.3362,193484.1686,1.58E-06,0.515454856,3.43E-06,66,8.31E-05,TRUE,3
1706,YJL052W,450795.8753,443928.864,435593.8571,98423.06459,108646.0702,99115.14021,1.58E-06,0.481713801,4.02E-07,67,8.23E-05,TRUE,17
