,ProteinID,126 Vert Med,127n Vert Med,127c Vert Med,128n Vert Med,128c Vert Med,129n Vert Med,batch_p_value,null_batch_p_value,1 vs 2,i_value,BH_value,Significant?,PepPerProt
154,YBL098W,436323.7233,436567.1286,439401.9251,799016.7095,804065.995,795572.0496,9.66E-09,0.529806223,1.74E-08,1,4.39E-05,TRUE,14
2415,YJR095W,150118.9772,151356.9096,156240.7238,1038202.142,1021815.636,1014315.395,1.75E-08,0.520901601,2.94E-08,2,3.97E-05,TRUE,8
447,YCR010C,188700.5609,190354.0131,182865.7279,1007192.129,995283.4242,988551.6307,2.44E-08,0.509039577,1.70E-08,3,3.70E-05,TRUE,2
175,YBR015C,567097.6816,568124.2079,568281.7367,694706.6702,698443.6305,695582.7305,3.23E-08,0.530156476,4.39E-08,4,3.67E-05,TRUE,27
1146,YEL038W,952596.3041,947034.7181,959352.9708,389740.5704,398160.0546,387676.7891,6.22E-08,0.496473189,3.19E-08,5,5.66E-05,TRUE,7
4282,YPL118W,381066.5927,387130.274,385057.2738,847152.5734,848936.3468,828803.7109,1.03E-07,0.520506434,2.72E-07,6,7.78E-05,TRUE,7
2126,YIL121W,994252.5009,978030.1102,993870.9372,359149.3572,359407.5486,370634.5749,1.12E-07,0.517907686,7.20E-08,7,7.25E-05,TRUE,4
511,YCR107W,209244.716,213159.3701,217679.0308,992968.353,994034.3134,945421.8731,1.82E-07,0.529148333,1.21E-06,8,0.000103519,TRUE,2
3935,YOR043W,1065779.156,1089222.711,1043332.385,297480.8923,308587.571,298496.7808,2.00E-07,0.517485005,6.20E-07,9,0.000100838,TRUE,5
2484,YKL024C,746605.072,750492.0948,757100.9611,548467.3668,552790.0219,552441.4364,3.42E-07,0.507241057,4.77E-07,10,0.000155604,TRUE,14
1781,YGR223C,866159.9371,875438.7247,850670.3272,457193.3822,460074.2077,466531.2476,4.32E-07,0.541076685,8.13E-07,11,0.000178693,TRUE,7
