,ProteinID,126 Vert Med,127n Vert Med,127c Vert Med,128n Vert Med,128c Vert Med,129n Vert Med,batch_p_value,null_batch_p_value,1 vs 2,i_value,BH_value,Significant?,PepPerProt
1637,YGR255C,512572.2864,513546.1274,511462.9008,666179.9125,674170.3574,685159.1997,4.73E-06,0.508380119,7.98E-06,40,0.000487229,TRUE,5
3438,YNR067C,922182.5528,900740.7627,916363.8785,334182.0629,364563.5821,334748.662,5.04E-06,0.455939233,1.15E-06,41,0.00050579,TRUE,7
1768,YHR094C,848010.9726,864463.243,870765.757,370058.9723,399484.8793,392198.0403,5.15E-06,0.488909604,1.83E-06,42,0.000504594,TRUE,6
2122,YJL217W,1133609.238,1129457.678,1168230.489,137173.5178,152720.9756,169349.3898,5.27E-06,0.513276903,3.50E-07,43,0.000504292,TRUE,5
1631,YGR248W,297438.3878,301319.7994,325995.634,839448.5154,865890.6228,831717.5,5.38E-06,0.559943619,2.50E-06,44,0.000503273,TRUE,2
3102,YMR267W,418665.2276,402635.9308,428156.7139,751289.9247,750043.0224,763521.2328,5.98E-06,0.560129058,2.49E-06,45,0.00054698,TRUE,3
1015,YEL011W,447062.7255,458715.733,464896.0072,726982.3378,729372.7843,708977.3097,6.12E-06,0.531942604,5.73E-06,46,0.000547855,TRUE,8
1906,YIL088C,840242.0572,883798.5501,900203.3159,386511.9702,363437.6867,375682.4407,6.38E-06,0.564304667,1.27E-05,47,0.000558642,TRUE,3
1571,YGR165W,359616.6087,364826.8612,382627.0697,774663.6781,819176.4738,792340.7387,6.47E-06,0.567200258,8.40E-06,48,0.000554743,TRUE,14
3875,YPL110C,826158.0309,824926.389,827444.4095,430473.3919,417459.785,398827.0612,6.47E-06,0.511071555,1.52E-06,49,0.00054403,TRUE,5
2530,YLR038C,197462.6267,197793.6052,226880.3476,934388.4902,951637.5145,902084.761,6.54E-06,0.560731927,2.06E-06,50,0.000538704,TRUE,6
382,YCL042W,273631.643,300589.1551,289980.7274,899489.7916,845240.1312,836551.1969,6.62E-06,0.471024074,1.12E-05,51,0.000534327,TRUE,1
3352,YNL284C,376086.7183,374634.6339,398535.7332,795158.9517,790608.9821,763669.2369,7.12E-06,0.559044189,5.69E-06,52,0.000563668,TRUE,6
1473,YGR021W,387448.4675,391711.9493,395828.465,799692.8857,784137.8148,743456.3981,7.19E-06,0.53390321,2.24E-05,53,0.000558775,TRUE,2
1098,YER050C,286787.7758,307531.8011,302474.65,897311.5842,818820.4672,836291.1974,7.29E-06,0.464110609,2.34E-05,54,0.000555775,TRUE,2
2139,YJR025C,929201.9588,935808.6707,887397.9198,322454.9982,356252.6463,340552.7423,7.49E-06,0.494532661,5.65E-06,55,0.000560456,TRUE,6
2018,YJL052W,898225.7903,920808.5138,909704.7824,337731.8141,369397.8417,334513.0099,7.59E-06,0.473552584,1.66E-06,56,0.000558289,TRUE,43
3575,YOR043W,888561.6749,911876.4613,945358.5395,347870.4124,356270.5062,324556.2785,7.81E-06,0.481636272,7.26E-06,57,0.000563838,TRUE,4
2707,YLR309C,675454.9988,681584.685,677005.7977,532664.1754,546001.5945,536657.327,7.84E-06,0.486221603,5.67E-06,58,0.000556448,TRUE,10
2090,YJL166W,182401.7428,187199.0429,209162.6733,880257.6176,955854.7084,986759.6044,8.04E-06,0.545015424,2.16E-05,59,0.000561099,TRUE,3
238,YBR120C,388555.7014,391674.9478,398461.5917,769369.1604,808406.675,749578.5088,8.31E-06,0.578873849,2.60E-05,60,0.00057014,TRUE,6
2566,YLR088W,767097.2543,760133.1157,798700.1253,450595.4273,457264.2336,466725.6971,8.75E-06,0.490135175,1.55E-05,61,0.000590577,TRUE,4
928,YDR424C,718233.1123,731796.2164,741280.3176,504084.357,494040.5146,486700.4441,9.11E-06,0.527983653,9.51E-06,62,0.000605011,TRUE,3
173,YBR037C,401210.6051,398601.517,379683.5276,794998.3395,775217.3946,751229.5288,9.23E-06,0.504027328,1.20E-05,63,0.000603051,TRUE,1
916,YDR405W,309078.2066,305200.787,335026.9492,807594.4022,851529.0394,856888.2882,9.57E-06,0.566486442,8.79E-06,64,0.000615461,TRUE,5
1639,YGR258C,845061.8421,822355.6537,867742.7807,416099.015,399337.7268,385983.1326,9.69E-06,0.490654056,9.34E-06,65,0.000614053,TRUE,2
3387,YNR001C,295112.1986,293200.1885,308916.3124,905357.4449,844625.0232,805903.391,9.91E-06,0.529927751,4.69E-05,66,0.000618452,TRUE,16
2120,YJL213W,62941.11825,56402.50936,76340.39773,1009679.134,1150768.161,989990.98,1.00E-05,0.594773789,4.23E-05,67,0.000615143,TRUE,1
4001,YPR024W,495715.8592,495470.1722,495334.7302,688922.2039,704718.6307,676177.4339,1.01E-05,0.577967855,1.93E-05,68,0.000613809,TRUE,16
1886,YIL056W,468805.0146,469720.9351,463503.6596,692738.4411,727275.9077,719420.3202,1.03E-05,0.550913733,2.07E-05,69,0.000613802,TRUE,7
1600,YGR202C,475822.0646,488156.5214,496471.8404,691923.658,701871.2708,696984.5767,1.03E-05,0.530061126,5.98E-06,70,0.000605436,TRUE,9
2233,YKL006W,922630.0656,1064924.924,1030337.438,275617.5163,268337.9394,255876.7944,1.06E-05,0.554731534,6.86E-05,71,0.000616604,TRUE,3
896,YDR380W,378504.7291,371219.9651,387214.8187,769302.3557,825652.52,767999.3057,1.07E-05,0.604292678,3.10E-05,72,0.0006125,TRUE,13
283,YBR192W,449464.1796,455042.3132,464663.8127,727869.7127,736265.4979,703309.1221,1.07E-05,0.562597434,1.63E-05,73,0.000605934,TRUE,8
3095,YMR259C,692028.8431,708607.0273,689419.7528,526744.0105,515993.1244,523871.9983,1.08E-05,0.610935726,1.38E-05,74,0.000599431,TRUE,17
1079,YER024W,199455.8291,212344.0083,233631.9159,916808.887,971238.3953,883618.4282,1.08E-05,0.557629636,1.33E-05,75,0.000594525,TRUE,3
2278,YKL062W,404049.9674,403612.0569,422816.5767,736719.3579,780129.1543,766545.8516,1.11E-05,0.579181832,1.63E-05,76,0.000599405,TRUE,6
2057,YJL117W,772166.0496,802135.1484,784048.0964,441019.8335,464970.4052,441358.4403,1.11E-05,0.496589963,8.88E-06,77,0.000594057,TRUE,5
2121,YJL214W,214168.2699,191591.5333,211632.5633,980899.0694,959238.4759,851909.1032,1.15E-05,0.580940482,5.73E-05,78,0.000605835,TRUE,1
3694,YOR222W,415645.6718,434310.3635,440371.0421,734070.0408,760412.5301,738526.7617,1.17E-05,0.538389307,9.03E-06,79,0.000608435,TRUE,10
1059,YER004W,424353.8535,434144.1566,451670.406,729642.7179,736573.015,748649.6199,1.18E-05,0.525378722,6.46E-06,80,0.000606399,TRUE,5
2158,YJR055W,913856.2283,897833.1692,869555.4853,337516.8968,370269.0735,370481.4805,1.18E-05,0.494738033,6.05E-06,81,0.00059916,TRUE,3
1712,YHR029C,785058.5641,799386.4204,800776.7932,427765.1041,459997.026,438402.7893,1.22E-05,0.468056515,5.09E-06,82,0.000614837,TRUE,7
1116,YER072W,974100.3892,860216.1902,904837.8216,339578.0885,349060.7573,343505.5976,1.23E-05,0.454813472,6.84E-05,83,0.000610054,TRUE,2
2126,YJR004C,1057814.919,1042658.76,1054714.652,207012.9567,252931.3939,229384.5516,1.25E-05,0.458122611,5.10E-07,84,0.000610584,TRUE,3
