MS2 Ratio,MS3 Ratio
1.602425287,3.21182902
1.0934434,1.385345568
1.130850876,2.659786559
1.085597997,1.052983766
2.389794649,3.392849899
-2.792126346,-2.746714408
-1.730706868,0.895389907
-1.707759549,-2.271494586
0.013122152,-0.117868564
-0.032917059,0.092237273
-0.144378113,0.00050408
-0.59489475,-0.88825725
0.02297279,0.023209114
-0.183025942,-1.597801894
0.437225977,0.532352568
0.047249181,0.031172657
0.275276591,0.186599819
-0.393592996,-0.095154492
0.170088973,0.425154173
-0.402068033,-0.328881442
-0.411717147,-0.2211972
0.004301946,-0.261417713
-0.48836625,-0.296626304
0.063025274,-0.583874949
-0.402954703,-0.239268355
-0.130397511,-0.025002752
0.087021116,0.247501693
-0.032503149,0.193686589
-0.550612509,-0.822948681
-0.334089495,-0.492421952
-0.491274367,-0.633403575
0.042359708,0.083194118
0.25526227,0.152661675
0.182713851,0.141101641
0.327602773,0.338667404
-0.106667681,-0.387242449
-0.166105476,0.044107587
-0.174478658,-0.368322471
0.940756491,0.485872087
-0.024062738,-0.351625888
-0.435416845,-0.647538586
0.145053162,0.207707661
-0.131037852,-0.257471522
-0.219268994,-0.302883903
0.706133552,0.159581243
0.01561368,0.244718164
0.024932071,-0.177826318
0.252141111,0.781056441
-0.003408331,-0.032430714
0.115164138,0.325181266
1.188964873,2.698812952
-0.485057066,-0.306471286
-0.330128934,-0.077455978
-0.372893818,-1.693924761
0.224969047,0.009514167
1.035505017,0.525148429
1.062753791,1.166046678
0.142503743,-0.065294931
-0.006023744,-0.356217219
-0.303883138,0.349771613
0.16334166,0.270428254
-0.418165092,-0.424929057
-3.567523825,-4.225194565
-0.612805148,-0.348129382
-0.301796379,-0.247042456
0.3191303,0.42839341
-0.159720719,-0.104060273
-1.72959706,-1.278400393
1.26976965,3.106693971
0.009966202,-0.310287496
-3.639341374,-3.613983045
0.246916182,0.495119224
0.004663095,-0.100633641
-0.459871033,-0.550460681
-0.151285065,-0.555082787
-3.111400687,-3.856198505
-0.155617904,-0.285143149
0.091402586,0.27194073
0.303943879,0.541231319
-0.084900262,-0.19005177
-0.060122328,-0.285837716
0.100503736,0.053780183
-0.208377636,0.231717808
1.524732132,1.558304694
0.852959249,0.974889097
-0.135571465,-0.456938499
0.542662427,-0.429048982
-0.587892925,-0.73753043
0.209821079,0.624281217
-0.139863738,-0.017546684
0.207361141,-0.16772777
0.10498445,-0.063549126
-0.403070972,-0.144030386
0.191638381,0.061640179
-0.043265191,0.001492441
0.523191033,-0.115195115
1.49416012,1.690796041
-0.504392082,-0.930849744
-0.060012652,-0.092715788
-0.185900706,-0.118376274
-0.027562597,-0.003737031
-0.155531087,-0.312304194
0.05243554,0.08772318
1.219030632,1.709913244
-0.075164193,-0.05609825
-0.317015884,-0.268574377
0.166889165,0.027583176
0.03634949,0.031934865
1.627857573,1.455634083
-0.804468104,-0.276523277
-0.272583648,-0.463934321
0.103254433,-0.185098617
0.862890459,-1.256795208
0.100138268,0.226906506
-0.018906484,0.0729291
-0.651975383,-0.737500555
0.407462151,-0.175163169
-0.418782166,-0.428678129
-0.042423571,-0.014861008
0.970615391,0.619679637
