Yeast,Yeast + Human
-0.158880208,0.034878371
0.490401008,0.308906891
-0.01075355,-0.098609882
-0.893219854,-0.723567189
0.139962087,0.162017464
0.385663939,-0.234051158
0.199506558,0.260803931
-0.75759214,-0.011933702
0.134602492,0.01384945
-0.085231337,-0.302759038
-0.120590035,-0.265170619
-0.071839264,0.172823989
-0.908186556,-0.604314593
-0.354400491,0.061668208
0.099844831,0.212014813
0.14970037,-0.421029194
-0.517433014,-0.271800803
-0.459100805,-0.494183214
-0.74816599,-1.001084618
-0.188107067,-0.177387445
-0.124971291,-0.273670581
-0.511392412,-0.433498566
-0.049653254,0.634076813
0.052594867,-0.030086465
0.146413161,-0.222487816
0.303333176,0.313078053
0.045961489,-0.223632735
0.106594973,0.032915923
0.778780309,1.290806338
0.166233491,0.01514915
0.182332601,0.168129646
1.041721337,0.95869811
-0.449344398,-0.000957897
1.387032482,1.521263268
0.913043336,0.842153554
-0.012667251,0.140814827
-0.654087277,-0.456615304
-0.011521637,0.082913531
-0.349985711,-0.684630793
-0.283401225,-0.42986611
-2.101278587,-2.234323719
1.073803863,1.215937058
-0.129445784,-0.006205131
-0.579000011,-0.421886953
-4.332461136,-4.632514261
0.135157698,0.094967071
-0.273699539,-0.219846376
-0.224240516,-0.236634918
-0.031091683,0.167171705
0.254359338,0.330653626
0.898843853,0.819185491
-0.794851468,0.114313999
-0.315941392,-0.256074922
0.385476793,0.371134069
0.031342858,-0.123418631
-0.074957738,0.12727303
-0.076530861,-0.017100483
0.229350684,0.069467759
-0.040884024,0.058622094
1.358749224,1.618682988
-0.225610147,0.469877547
-1.80086597,-0.351456562
-0.288422304,-0.11574782
-0.012034736,0.064278433
-0.098836963,0.200722335
0.01730469,-0.029731868
0.474138609,0.373407199
-0.489214391,-0.455108788
-0.006383555,0.031628311
1.642415794,0.769663251
0.241281626,0.685231458
-0.522236971,-0.089290669
-0.273889063,-0.182141958
-0.073658414,-0.065661383
-0.631029342,-0.598591272
-0.693968739,-1.554586917
0.199823502,0.073718503
-0.405272624,-0.208826989
-0.483650981,-0.191666689
1.236725946,1.081118121
0.296669181,0.193938492
-0.126632793,-0.074799405
0.736948259,0.659301865
-0.225823887,-0.100625906
-0.370105518,-0.226348167
-0.093616266,-0.390285245
-0.375512133,0.556790944
2.319984608,1.904998834
-0.385278294,-0.548072263
-0.091902422,-0.121027565
0.463182569,0.844599713
0.519384942,0.640715831
0.194283625,0.028218448
0.373696554,0.466257236
0.103687421,0.134698171
1.113301666,0.467513065
0.245216031,0.070919134
-0.408248519,-0.261790605
0.037961154,-0.02567237
1.073485317,0.923825427
0.63771976,0.780700789
0.356449901,0.455559586
-0.681651704,-0.218449554
0.297658494,0.11970033
0.001103132,0.026191258
0.74503368,0.677722877
0.934081263,1.315359832
0.204194189,0.144432605
0.100565533,0.756552832
1.054007804,1.094529921
0.545621477,0.291670051
-0.178107206,-0.220584311
-0.000784597,-0.089637059
0.296994967,0.273150525
0.268249591,0.323463782
-0.185054576,-0.111421524
0.272320956,0.187116374
0.324138406,0.040723294
0.484671273,0.557018514
-0.401533081,-0.310100056
-0.601808421,-0.444652702
0.078691748,-0.028354695
-0.185037998,-0.046114621
-0.321045514,-0.392405087
0.288782246,0.324146518
0.252484913,0.211081437
-0.140491681,-0.619632519
0.569716724,0.864836467
0.107872581,0.215013874
0.653967764,0.610987364
-0.441842188,-0.228801854
-0.098936446,-0.088188134
0.894970221,0.721787216
-0.121741391,-0.680769913
0.22448801,0.260723169
0.592459191,0.466652044
-0.405340006,-0.621786946
-0.531494078,-0.969038181
-0.395354411,-0.175724002
-0.406572927,0.024098367
0.756219729,-1.021160856
-0.060223742,-0.283512901
-0.147188875,-0.088364846
-0.636067297,-0.537293384
-0.141063816,0.548802131
0.123595998,0.032198571
-0.435125184,-0.408612105
0.57448911,0.457400902
-2.088581728,-1.635914537
-1.707574972,-0.184179818
0.056763558,0.192907962
-0.194405683,-0.589027975
-0.031694201,0.027565979
-0.16034902,-0.144907916
-0.204344038,0.199183112
0.216830026,0.157805336
-0.237693643,-0.107038848
0.345833319,0.038171939
-0.084826688,-0.377011975
0.349270347,0.083823404
0.588401045,0.408181
0.820494515,0.876585841
-1.931881816,-2.485237886
-5.788223233,-5.319976827
-0.179397622,-0.177914692
-0.147404972,-0.031290639
0.276454238,0.203842792
0.020477878,-0.075902648
-0.058999006,0.239209883
-0.30887564,-0.449576777
0.168532409,-0.052996033
-0.066308797,0.013954327
-0.06216558,0.225492171
-0.248219201,-0.087436035
0.022529984,-0.073155033
5.213465413,5.252690594
-0.22376598,5.458156361
0.735827274,0.353568176
-0.247874152,-0.281239366
1.187415906,1.37616557
0.09987889,-0.046028173
-0.283684253,-0.078682038
0.610202732,0.757715886
-0.336802336,-0.355247388
0.641937008,0.555502556
-0.830116316,-0.411348358
-0.681763594,-0.455786717
0.03912651,-0.125577534
0.32228978,0.624155546
-0.533114332,0.155738204
-0.319815418,-0.205261692
-0.402036024,-0.322920773
-0.228495676,-0.129063897
-0.271601709,-0.326473778
1.101945586,1.088858462
0.719182833,0.781072643
0.211008805,0.378346244
0.441095794,0.547631895
